
2025/03/30 (23:58:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/30 (23:58:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/30 (23:58:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (23:18:26) | ===> btop++ v.1.4.0
2025/04/01 (23:18:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/01 (23:18:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/01 (23:18:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (11:15:29) | ===> btop++ v.1.4.0
2025/04/02 (11:15:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/02 (11:15:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/02 (11:15:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (12:04:36) | ===> btop++ v.1.4.0
2025/04/03 (12:04:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/03 (12:04:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/03 (12:04:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (12:04:44) | ===> btop++ v.1.4.0
2025/04/03 (12:04:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/03 (12:04:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/03 (12:04:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (14:17:23) | ===> btop++ v.1.4.0
2025/04/21 (14:17:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/21 (14:17:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/21 (14:17:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (14:17:32) | ===> btop++ v.1.4.0
2025/04/21 (14:17:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/21 (14:17:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/21 (14:17:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (18:56:48) | ===> btop++ v.1.4.0
2025/04/22 (18:56:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/22 (18:56:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/22 (18:56:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (13:24:14) | ===> btop++ v.1.4.0
2025/04/23 (13:24:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (13:24:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/23 (13:24:14) | WARNING: Intel GPU: Failed to initialize PMU
